"","Mumps - number of reported cases","Mumps - number of reported cases","Mumps - number of reported cases","Mumps - number of reported cases","Mumps - number of reported cases","Mumps - number of reported cases","Mumps - number of reported cases","Mumps - number of reported cases","Mumps - number of reported cases","Mumps - number of reported cases","Mumps - number of reported cases","Mumps - number of reported cases","Mumps - number of reported cases","Mumps - number of reported cases","Mumps - number of reported cases","Mumps - number of reported cases","Mumps - number of reported cases","Mumps - number of reported cases","Mumps - number of reported cases"
"Qatar","21","20","21","13","289","382","368","151","407","","223","185","140","","96","80","69","65",""
"Republic of Korea","1121","","","","17022","7147","6241","6104","6524","4474","4569","2090","1860","1744","1518","281","1668","3057",""
"Republic of Moldova","78","109","70","51","60","131","143","144","292","29783","1757","296","368","424","","1579","2556","1942","3198"
"Romania","315","644","446","107","98","163","195","286","941","2302","5291","14519","59893","64427","48210","38827","41205","26542","51385"
"Russian Federation","4443","1106","190","267","282","394","406","510","925","1535","1855","2361","3027","4366","9191","11490","20289","40976","70656"
"Rwanda","","1809","","0","","","","","0","","","","0","","0","","","",""
"Saint Kitts and Nevis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0",""
"Saint Lucia","0","0","0","0","0","0","0","0","0","73","0","0","","0","0","1","4","",""
"Saint Vincent and the Grenadines","0","0","0","0","0","0","0","0","0","0","","0","0","0","","0","0","",""
"Samoa","0","","","","","0","0","1","0","","","0","1","0","21","","","",""
"San Marino","0","0","2","","","2","1","2","0","","0","0","1","0","","","","11",""
"Sao Tome and Principe","15","7","0","","","","","","0","0","0","0","0","0","0","6","0","4",""
"Saudi Arabia","47","14","3","19","1172","64","26","610","138","31","32","79","139","349","749","976","941","","2290"
"Serbia","37","40","41","63","64","584","63","40","262","277","80","52","93","334","362","1062","473","1215","932"
"Seychelles","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","","4"
"Sierra Leone","","","","","","","","","","","0","","","","","","","",""
"Singapore","524","","","","495","521","501","452","631","801","780","844","1003","1003","877","1090","1399","5981","6384"
"Slovakia","29","203","1707","1559","218","5","2","2","5","5","5","17","10","14","24","11","20","32","44"
"Slovenia","3","0","1","1","1","8","4","5","27","32","22","23","13","22","42","36","43","",""
"Solomon Islands","0","","","","0","0","0","","0","0","0","0","","","","0","0","",""
"South Africa","","","","","","","","","","","","","","","","24","","",""
"South Sudan","0","","0","0","","","","","","","","","","","","","","",""
"Spain","10082","4999","","","13951","9539","4416","2516","2036","3816","10337","6797","2349","","1623","4495","","9391","4200"
"Sri Lanka","252","311","338","383","1274","3558","1129","897","660","778","1153","","","","","","622","901","592"
"Suriname","","13","0","0","0","0","0","0","0","0","","","0","0","","37","","",""
"Sweden","32","22","23","21","44","33","38","24","34","52","46","60","81","30","8","15","22","37",""
"Switzerland","","0","","","","","140","600","900","","","","","","","","9900","","16400"
"Syrian Arab Republic","360","85","","","45","52","95","145","144","561","414","330","441","3676","6198","10724","18651","7780","10836"
"Tajikistan","2532","1790","","","1530","1518","1441","1558","1200","1171","1430","732","547","424","","2915","526","428","1990"
"Thailand","17","23","3121","3704","5907","7431","10077","15885","20383","13861","9299","7838","8791","10767","11069","10853","9039","6527","8104"
"The former Yugoslav republic of Macedonia","32","45","52","","60","97","111","242","10920","5865","284","49","125","69","77","109","87","441","316"
"Timor-Leste","21","0","","0","","0","0","0","0","0","0","","0","0","","","","",""
"Tonga","","0","","","0","0","0","0","0","0","0","8","20","0","0","","0","0","1"
"Trinidad and Tobago","0","0","0","0","0","0","0","0","0","0","","13","0","0","24","20","15","",""
"Turkey","419","544","322","457","597","834","1609","1525","2180","9514","16524","19726","19754","","","","","",""
"Turkmenistan","24","0","14","27","13","","31","61","143","241","562","","472","798","","1661","680","1124","764"
"Tuvalu","","","","","","0","0","0","0","0","0","4","0","0","0","0","0","0","0"
"Ukraine","336","439","461","","","799","955","951","","1985","2921","3726","3776","5115","13156","20934","23476","26538","32854"
"United Arab Emirates","","","","354","","377","","396","","477","","","222","248","333","352","423","732","1236"
"United Kingdom of Great Britain and Northern Ireland","2360","974","1008","2958","4718","3178","2716","4527","8670","2625","2569","5691","63525","10055","","544","814","1089",""
"United Republic of Tanzania","","","","","","","","","","71","","","","","","","","",""
"United States of America","","","1308","1223","584","229","386","2612","1991","451","800","6339","","258","197","238","231","323",""
"Uruguay","","938","2087","0","205","113","132","169","256","641","2069","1646","2193","","0","5","18","20","24"
"Uzbekistan","301","268","0","2336","3256","2300","1160","1418","1454","1862","4151","1754","1784","2304","5414","9677","5775","3949","5439"
"Vanuatu","","","","","","","","","","0","","50","","","","0","0","",""
"Venezuela (Bolivarian Republic of)","81","50","156","69","15","0","2740","3353","7509","1007","19118","2935","3095","2842","3158","3601","1788","5851","6578"
"Viet Nam","","","","","","","","","","","","","","","","","","","18008"
"Yemen","","","","","3837","5081","3306","4685","5243","5191","5059","6295","3165","","","","","",""
"Zambia","0","0","","","","","","","0","13728","6082","6548","15874","17472","6654","6882","12989","6213","7396"
"Zimbabwe","18","14","0","","","0","","","0","","","","","","","","","",""
